A2.1: Beziehungen - Relaciones,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"unterhalten","unterhalten","unterhaltte","(conversar / entretener)"
"erzählen","erzählt","erzählte","(contar / narrar)"
"versprechen","versprochen","versprechte","(prometer)"
"mitmachen","mitgemacht","mitmachte","participar"
"gehören","gehört","gehörte","pertenecer"
"streiten","gestritten","stritt","(discutir / pelear)"
"stören","gestört","störte","(molestar)"
"küssen","geküsst","küsste","(besar)"

A2.1: Freizeit - Ocio,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"fernsehen","ferngesehen","fernsehte","(ver la televisión)"
"mitbringen","mitgebracht","mitbringte","(traer consigo)"
"beginnen","begonnen","begann","(empezar)"
"feiern","gefeiert","feierte","celebrar"

A2.1: Erledigungen - Gestiones,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"abholen","abgeholt","holte ab","recoger (personas/cosas)"
"mitkommen","mitgekommen","mitkommte","(venir / acompañar)"
"zurückgeben","zurückgegeben","zurückgebte","(devolver)"
"bekommen","bekommen","bekam","recibir / obtener"

A2.1: Termine - Citas,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"verschieben","verschoben","verschiebte","(posponer / mover)"
"vereinbaren","vereinbart","vereinbarte","(acordar)"
"dauern","gedauert","dauerte","durar"
"warten","gewartet","wartte","(esperar)"
"anfangen","angefangen","anfangte","(empezar)"
"aufhören","aufgehört","hörte auf","dejar de / parar / terminar"
"absagen","abgesagt","sagte ab","cancelar"
"planen","geplant","plante","planificar / planear"
"vorhaben","vorgehabt","hatte vor","tener planeado / tener pensado"
"füllen","gefüllt","füllte","llenar / rellenar"

A2.1: Entscheidungen - Decisiones,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"vergleichen","verglichen","verglich","comparar"
"vorschlagen","vorgeschlagen","vorschlagte","(proponer / sugerir)"
"begründen","begründet","begründte","(justificar)"
"erlauben","erlaubt","erlaubte","permitir"
"verbieten","verboten","verbot","prohibir"
"lassen","gelassen","ließ","dejar / permitir"
"verlassen","verlassen","verließ","dejar / abandonar"
"fehlen","gefehlt","fehlte","faltar"

A2.1: Veränderung - Cambio,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"tun","getan","tat","(hacer)"
"enden","geendet","endte","terminar / acabarse (por sí solo)"
"ändern","geändert","änderte","cambiar / modificar"
"wechseln","gewechselt","wechselte","cambiar (por otro)"
"fallen","gefallen","fiel","(caer)"
"brechen","gebrochen","brach","(romper)"
"verschwinden","verschwunden","verschwand","desaparecer"

A2.1: Ereignisse - Eventos,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"regnen","geregnet","regnte","(llover)"
"schneien","geschneit","schneite","(nevar)"
"passieren","passiert","passierte","(pasar / suceder)"
"geschehen","geschehen","geschah","suceder (pasar, ocurrir)"
"verlieren","verloren","verlor","(perder)"
"rauschen","gerauscht","rauschte","sonar (viento/mar)"
"hoffen","gehofft","hoffte","(esperar / tener esperanza)"

A2.1: Kreativität - Creatividad,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"singen","gesungen","sang","(cantar)"
"zeichnen","gezeichnet","zeichnte","(dibujar)"
"malen","gemalt","malte","pintar"

A2.1: Bedeutung - Significado,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"heißen","geheißen","hieß","llamarse"
"bedeuten","bedeutet","bedeutte","significar"
"meinen","gemeint","meinte","Opinar / Creer / Querer decir"
"nennen","genannt","nannte","(nombrar / llamar)"
"beschreiben","beschrieben","beschreibte","(describir)"
"übersetzen","übersetzt","übersetzte","(traducir)"

A2.1: Reflexive Verben - Verbos Reflexivos,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"wundern","gewundert","wunderte","sorprenderse"
"irren","geirrt","irrte","equivocarse"
"beeilen","gebeeilt","beeilte","darse prisa"
"erkälten","geerkältt","erkältte","resfriarse"
"wohlfühlen","gewohlfühlt","wohlfühlte","sentirse bien"
"schämen","geschämt","schämte","avergonzarse"
"erholen","geerholt","erholte","descansar / recuperarse"
"langweilen","gelangweilt","langweilte","aburrirse"
"konzentrieren","gekonzentriert","konzentrierte","concentrarse"
