A2.2: Übergang - Transición,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"anbieten","angeboten","anbiette","(ofrecer)"
"mitnehmen","mitgenommen","mitnahm","(llevar consigo)"
"holen","geholt","holte","Ir a buscar"
"wiederholen","gewiederholt","wiederholte","Repetir"
"begrüßen","gebegrüßt","begrüßte","Saludar"
"verabschieden","geverabschiedt","verabschiedte","Despedirse"
"merken","gemerkt","merkte","Darse cuenta"
"organisieren","georganisiert","organisierte","Organizar"
"senden","gesendt","sendte","Enviar (TV o correo)"
"werfen","geworfen","warf","Lanzar"
"springen","gesprungen","sprang","Saltar"
"ärgern","geärgert","ärgerte","Enfadarse"
"abnehmen","genommen","nahm","Adelgazar"
"zunehmen","genommen","nahm","Engordar"
"steigen","gestiegen","stieg","Subir"

A2.2: Vorbereitung - Preparación,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"vorbereiten","vorbereitet","vorbereitte","(preparar)"
"zuhören","zugehört","zuhörte","(escuchar con atención)"
"regeln","geregelt","regelte","regular / arreglar"

A2.2: Lebensereignisse - Eventos de vida,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"drucken","gedruckt","druckte","(imprimir)"
"heiraten","geheiratet","heiratte","(casarse)"

A2.2: Geschäftliches - Negocios,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"verdienen","verdient","verdiente","ganar dinero, merecer"
"sparen","gespart","sparte","(ahorrar)"
"überweisen","überwiesen","überwies","transferir (dinero)"
"leihen","geliehen","leihte","(prestar / tomar prestado)"
"ausgeben","ausgegeben","gab aus","gastar"
"schulden","geschuldet","schuldete","deber (dinero o algo)"

A2.2: Wirtschaft und Unternehmertum - Funcionamiento,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"schaffen","geschafft","schaffte","crear / lograr un resultado / producir"
"erreichen","erreicht","erreichte","alcanzar / llegar a"
"gewinnen","gewonnen","gewann","(ganar)"
"unternehmen","unternommen","unternehmte","(emprender algo)"
"weiterhelfen","weitergeholfen","weiterhelfte","(ayudar a avanzar)"
"führen","geführt","führte","liderar/guiar"

A2.2: Kochen - Cocina,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"braten","gebraten","briet","(freír / asar)"
"kochen","gekocht","kochte","(cocinar)"
"backen","gebacken","backte","(hornear)"
"mischen","gemischt","mischte","mezclar"
"vermischen","vermischt","vermischte","mezclar (a fondo) / combinar"
"schmecken","geschmeckt","schmeckte","saber a / tener sabor"
"riechen","gerochen","roch","oler"
"wiegen","gewogen","wog","pesar"
"räuchern","geräuchert","räucherte","ahumar"
"einmachen","eingemacht","machte ein","conservar (alimentos) / hacer conservas / envasar (mermeladas, frutas, verduras)"

A2.2: Gesundheit - Salud,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"husten","gehustet","hustete","(toser)"
"schmerzen","geschmerzt","schmerzte","doler"
"sterben","gestorben","sterbte","(morir)"
"untersuchen","untersucht","untersuchte","(examinar / investigar)"
"wehtun","wehgetan","wehtute","(doler)"

A2.2: das Management - Administración,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"lügen","gelogen","lügte","(mentir)"
"sammeln","gesammelt","sammelte","(coleccionar / reunir)"
"speichern","gespeichert","speicherte","(guardar / almacenar)"
"einreichen","eingereicht","reichte ein","presentar / entregar"

A2.2: Resultate - Resultados,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"entscheiden","entschieden","entscheidte","(decidir)"
"ordnen","geordnet","ordnete","ordenar / organizar"
"schimpfen","geschimpft","schimpfte","(regañar)"
"raten","geraten","ratte","(aconsejar / adivinar)"
"wachsen","gewachsen","wuchs","(crecer)"
"beschweren","beschwert","beschwerte","(quejarse)"

A2.2: Beruf - Profesión o Trabajo,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"zumachen","zugemacht","zumachte","(cerrar)"
"zurückkommen","zurückgekommen","zurückkommte","(regresar)"
"behalten","behalten","behielt","quedarse con algo, conservar, guardar"
"versuchen","versucht","versuchte","intentar (probar)"
"verschenken","verschenkt","verschenkte","regalar"

A2.2: Büro & Werk - Oficina y Taller,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"bewerben","beworben","bewerbte","(solicitar un trabajo)"
"berichten","berichtet","berichtete","informar / reportar"
"beraten","beraten","beratte","(asesorar)"
"herstellen","hergestellt","herstellte","(fabricar)"
"bauen","gebaut","baute","(construir)"
"zerstören","zerstört","zerstört","destruir"
"aufbauen","aufgebaut","baute auf","(construir / edificar)"

A2.2: Bildung - Educación,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"studieren","studiert","studierte","(estudiar en la universidad)"
"lernen","gelernt","lernte","aprender"
"teilnehmen","teilgenommen","nahm teil","participar"
"unterrichten","unterrichtet","unterrichtete","enseñar, dar clase"
"erklären","erklärt","erklärte","(explicar)"
"verstehen","verstanden","verstand","entender"
"üben","geübt","übte","practicar"
"bestehen","bestanden","bestehte","(aprobar)"
"lösen","gelöst","löste","resolver"
"prüfen","geprüft","prüfte","(examinar / probar / comprobar)"

A2.2: Funktion - Funcionamiento,,,
Infinitive,Perfekt,Präteritum,Übersetzung
"klappen","geklappt","klappte","(funcionar / salir bien)"
